Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,C,Q,S
0.5,1.0,0.483171561830329,0.0,0.0,0.050748620223090936,0.0,0.0,0.0,1.0
1.0,1.0,0.07979326862473214,0.5,0.2,0.07746484096553544,0.0,0.0,0.0,1.0
1.0,1.0,0.3679458186189938,0.0,0.0,0.015834545444608664,0.0,0.0,0.0,1.0
0.0,0.0,0.20584898525148115,0.125,0.0,0.11125659048908397,1.0,0.0,0.0,1.0
0.0,0.0,0.19324341358880626,0.0,0.2,0.07690367833806856,1.0,0.0,0.0,1.0
0.0,1.0,0.3679458186189938,0.0,0.0,0.08275928836380983,0.0,0.0,0.0,1.0
1.0,1.0,0.25627127190218074,0.0,0.0,0.01522458606692728,0.0,0.0,0.0,1.0
1.0,1.0,0.3679458186189938,0.25,0.0,0.04538097769949478,0.0,0.0,1.0,0.0
0.0,1.0,0.4705659901676541,0.0,0.2,0.2995388511917728,1.0,0.0,0.0,1.0
0.5,0.0,0.7100718517584772,0.0,0.0,0.020494635090094415,1.0,0.0,0.0,1.0
0.0,1.0,0.5588049918063784,0.125,0.0,0.16293234896625058,1.0,0.0,0.0,1.0
1.0,1.0,0.35711584520358,0.0,0.0,0.015411575213749286,0.0,1.0,0.0,0.0
0.0,1.0,0.6344384217824278,0.0,0.2,0.11980421963065935,0.0,1.0,0.0,0.0
1.0,1.0,0.30669355855288033,0.0,0.0,0.014151057562208049,0.0,0.0,0.0,1.0
0.5,1.0,0.5714105634690533,0.0,0.0,0.050748620223090936,0.0,0.0,0.0,1.0
0.0,1.0,0.6470439934451027,0.0,0.0,0.05953203526170282,1.0,0.0,0.0,1.0
1.0,1.0,0.3679458186189938,0.0,0.0,0.015411575213749286,0.0,0.0,0.0,1.0
0.0,0.0,0.26887684356485564,0.0,0.0,0.29580589980036276,0.0,0.0,0.0,1.0
1.0,1.0,0.35711584520358,0.0,0.0,0.015126992566498259,0.0,0.0,1.0,0.0
1.0,1.0,0.4705659901676541,0.0,0.0,0.016908073949327893,0.0,0.0,0.0,1.0
1.0,1.0,0.5461994201437035,0.0,0.0,0.015712553569072387,0.0,0.0,0.0,1.0
1.0,1.0,0.5209882768183537,0.0,0.0,0.014931805565640218,1.0,0.0,0.0,1.0
0.0,1.0,0.3445102735409051,0.0,0.0,0.051822148727810165,1.0,0.0,0.0,1.0
0.0,1.0,0.3679458186189938,0.0,0.0,0.09759350042902103,1.0,0.0,0.0,1.0
1.0,0.0,0.3679458186189938,0.0,0.0,0.015200187691820024,0.0,0.0,1.0,0.0
0.5,1.0,0.23106012857683098,0.125,0.2,0.07173122281533045,0.0,0.0,0.0,1.0
0.5,1.0,0.21845455691415605,0.0,0.0,0.022446505098674838,0.0,0.0,0.0,1.0
0.0,0.0,0.38232698852892977,0.0,0.4,0.32179836714362564,1.0,0.0,0.0,1.0
1.0,1.0,0.19324341358880626,0.125,0.2,0.03952536767375352,0.0,0.0,0.0,1.0
1.0,1.0,0.3192991302155552,0.0,0.0,0.015175789316712771,0.0,0.0,0.0,1.0
1.0,0.0,0.18063784192613136,0.0,0.0,0.014102260811993537,0.0,1.0,0.0,0.0
1.0,1.0,0.30669355855288033,0.125,0.0,0.015175789316712771,0.0,0.0,0.0,1.0
0.5,1.0,0.5209882768183537,0.125,0.0,0.05270049023167135,0.0,0.0,0.0,1.0
1.0,1.0,0.30669355855288033,0.0,0.0,0.015110792045427042,0.0,0.0,1.0,0.0
1.0,0.0,0.40753813185427956,0.375,0.0,0.030937139635999665,0.0,0.0,0.0,1.0
1.0,0.0,0.18063784192613136,0.0,0.0,0.015671954672893913,0.0,0.0,1.0,0.0
0.5,0.0,0.3445102735409051,0.0,0.0,0.02469115560854232,0.0,0.0,0.0,1.0
0.0,1.0,0.38232698852892977,0.0,0.0,0.09856123757927521,1.0,0.0,0.0,1.0
0.5,1.0,0.42014370351695446,0.125,0.0,0.050748620223090936,0.0,0.0,0.0,1.0
1.0,1.0,0.5461994201437035,0.0,0.0,0.015468569817999833,0.0,0.0,0.0,1.0
1.0,1.0,0.11760998361275685,0.375,0.4,0.05445717323939373,0.0,0.0,0.0,1.0
1.0,1.0,0.04197655363670742,0.375,0.4,0.05445717323939373,0.0,0.0,0.0,1.0
0.0,1.0,0.5209882768183537,0.125,0.0,0.10149724044618187,0.0,0.0,0.0,1.0
1.0,1.0,0.3319047018782302,0.0,0.0,0.016908073949327893,0.0,0.0,0.0,1.0
0.0,0.0,0.4957771334930039,0.0,0.0,0.2995388511917728,1.0,0.0,0.0,1.0
0.0,1.0,0.3679458186189938,0.0,0.0,0.10149724044618187,1.0,0.0,0.0,1.0
1.0,1.0,0.6218328501197529,0.0,0.0,0.015712553569072387,0.0,0.0,0.0,1.0
1.0,0.0,0.5083827051556787,0.0,1.0,0.07746484096553544,0.0,0.0,0.0,1.0
1.0,1.0,0.24366570023950587,0.0,0.0,0.018542765081513996,0.0,0.0,0.0,1.0
0.0,1.0,0.20584898525148115,0.0,0.4,0.21642978772242535,1.0,1.0,0.0,0.0
1.0,1.0,0.3192991302155552,0.0,0.0,0.11027245763075773,0.0,0.0,0.0,1.0
1.0,1.0,0.3679458186189938,0.0,0.0,0.015411575213749286,0.0,0.0,0.0,1.0
0.5,1.0,0.43274927517962936,0.0,0.0,0.020494635090094415,0.0,0.0,0.0,1.0
0.0,1.0,0.30669355855288033,0.125,0.0,0.17777475888549785,1.0,1.0,0.0,0.0
0.5,1.0,0.28148241522753054,0.0,0.0,0.020494635090094415,0.0,0.0,0.0,1.0
1.0,1.0,0.3679458186189938,0.0,0.0,0.015126992566498259,0.0,0.0,1.0,0.0
0.5,0.0,0.3192991302155552,0.125,0.2,0.050748620223090936,0.0,0.0,0.0,1.0
0.0,1.0,0.35711584520358,0.125,0.0,0.12999454257145598,1.0,0.0,0.0,1.0
1.0,1.0,0.5020799193243414,0.0,0.0,0.015126992566498259,0.0,0.0,1.0,0.0
0.5,0.0,0.42014370351695446,0.0,0.2,0.044893010197349675,0.0,0.0,0.0,1.0
1.0,1.0,0.19324341358880626,0.125,0.6000000000000001,0.06709553154495196,0.0,0.0,0.0,1.0
0.5,0.0,0.5209882768183537,0.125,0.0,0.050748620223090936,0.0,0.0,0.0,1.0
1.0,1.0,0.28148241522753054,0.0,0.0,0.01800600082915438,0.0,0.0,0.0,1.0
1.0,0.0,0.0010084457330139917,0.25,0.2,0.03758969818624431,0.0,1.0,0.0,0.0
1.0,0.0,0.20584898525148115,0.0,0.0,0.028220722145058292,0.0,1.0,0.0,0.0
0.5,1.0,0.3445102735409051,0.0,0.0,0.026350245115835676,0.0,0.0,0.0,1.0
0.5,0.0,0.40123534602294214,0.0,0.0,0.025374310111545468,1.0,0.0,0.0,1.0
1.0,0.0,0.483171561830329,0.0,1.0,0.05684821399990475,0.0,0.0,1.0,0.0
1.0,1.0,0.21845455691415605,0.0,0.0,0.015175789316712771,0.0,0.0,0.0,1.0
1.0,0.0,0.29408798689020543,0.0,0.0,0.01727404957593672,0.0,0.0,0.0,1.0
0.0,1.0,0.44535484684230425,0.0,0.0,0.05130978285055781,1.0,0.0,0.0,1.0
1.0,1.0,0.23106012857683098,0.0,0.0,0.014931805565640218,1.0,0.0,0.0,1.0
1.0,1.0,0.38232698852892977,0.0,0.0,0.015468569817999833,0.0,0.0,0.0,1.0
0.5,1.0,0.5840161351317282,0.0,0.0,0.02927805012870631,0.0,0.0,0.0,1.0
0.5,0.0,0.25627127190218074,0.0,0.0,0.020494635090094415,0.0,0.0,0.0,1.0
1.0,0.0,0.26887684356485564,0.0,0.0,0.015126992566498259,0.0,0.0,1.0,0.0
0.5,0.0,0.04197655363670742,0.125,0.2,0.044893010197349675,0.0,0.0,0.0,1.0
1.0,0.0,0.004159838648682718,0.125,0.2,0.021730754366528396,0.0,0.0,0.0,1.0
1.0,1.0,0.10500441195008194,0.0,0.4,0.04006213192611313,0.0,0.0,0.0,1.0
0.0,0.0,0.483171561830329,0.125,0.2,0.1554664461834305,1.0,0.0,0.0,1.0
0.5,1.0,0.5209882768183537,0.0,0.0,0.025374310111545468,0.0,0.0,0.0,1.0
0.0,1.0,0.13021555527543174,0.125,0.4,0.23422440102965048,1.0,0.0,0.0,1.0
0.5,0.0,0.35711584520358,0.125,0.0,0.050748620223090936,0.0,0.0,0.0,1.0
1.0,0.0,0.45796041850497915,0.0,0.0,0.018713553707264782,0.0,0.0,0.0,1.0
0.5,1.0,0.36972141686625487,0.0,0.0,0.020494635090094415,0.0,0.0,0.0,1.0
0.0,1.0,0.609227278457078,0.125,0.2,0.21642978772242535,1.0,1.0,0.0,0.0
1.0,1.0,0.23106012857683098,0.0,0.0,0.019852079483269742,0.0,0.0,0.0,1.0
1.0,1.0,0.26887684356485564,0.0,0.0,0.014102260811993537,0.0,1.0,0.0,0.0
0.0,0.0,0.43274927517962936,0.125,0.0,0.10149724044618187,0.0,0.0,0.0,1.0
0.5,1.0,0.28148241522753054,0.0,0.0,0.025374310111545468,0.0,0.0,0.0,1.0
